#Release 13.4 - par O.87xd (nt64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Tue Oct 23 21:47:59 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       CDBunit_map.ncd
#OUTPUT FILE:      CDBunit_pad.csv
#PART TYPE:        xc3s1600e
#SPEED GRADE:      -5
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
B9,Clk,IBUF,IP_L13N_0/GCLK9,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B10,Value2<0>,IBUF,IO_L12P_0/GCLK6,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B11,CDBout<26>,IOB,IO/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B12,,,VCCAUX,,,,,,,,2.5,,,,
B13,CDBout<7>,IOB,IO_L05N_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B14,CDBout<25>,IOB,IO_L04P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B15,Value1<7>,IBUF,IP_L02P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
B16,CDBout<31>,IOB,IO_L01P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
B17,,,GND,,,,,,,,,,,,
B18,request<2>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
C1,Value3<7>,IBUF,IO_L01P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
C2,Value3<1>,IBUF,IO_L01N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
C3,Value2<30>,IBUF,IO_L25P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C4,Value2<26>,IBUF,IO,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C5,Value2<24>,IBUF,IO_L23P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C6,,,VCCO_0,,,0,,,,,2.50,,,,
C7,Value2<13>,IBUF,IO_L18P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C8,Value2<8>,IBUF,IP_L16P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C9,Value1<31>,IBUF,IO_L14P_0/GCLK10,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C10,,,GND,,,,,,,,,,,,
C11,Value1<25>,IBUF,IO_L09P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C12,Value1<20>,IBUF,IP_L07P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C13,,,VCCO_0,,,0,,,,,2.50,,,,
C14,Value1<10>,IBUF,IO_L03N_0/VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C15,Value1<4>,IBUF,IP,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
C16,,,TDO,,,,,,,,,,,,
C17,CDBout<23>,IOB,IO_L24N_1/LDC2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
C18,CDBout<28>,IOB,IO_L24P_1/LDC1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D1,Value3<4>,IBUF,IO_L02P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
D2,Value3<0>,IBUF,IO_L02N_3/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
D3,Value3<2>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
D4,Value3<3>,IBUF,IO,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
D5,Value2<25>,IBUF,IO_L23N_0/VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D6,Value2<20>,IBUF,IO_L21P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D7,Value2<14>,IBUF,IO_L18N_0/VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D8,Value2<9>,IBUF,IP_L16N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D9,Value2<4>,IBUF,IO_L14N_0/GCLK11,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D10,Value1<29>,IBUF,IO_L11P_0/GCLK4,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D11,Value1<26>,IBUF,IO_L09N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D12,Value1<21>,IBUF,IP_L07N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D13,Value2<12>,IBUF,IO,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
D14,CDBout<37>,IOB,IO_L03P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,UNLOCATED,YES,NONE,
D15,,,TMS,,,,,,,,,,,,
D16,CDBout<21>,IOB,IO_L23N_1/LDC0,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D17,grant<2>,IOB,IO_L23P_1/HDC,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
D18,Value1<0>,IBUF,IP/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
E1,Value3<5>,IBUF,IO_L03N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
E2,Value3<6>,IBUF,IO_L03P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
E3,Value3<10>,IBUF,IO_L04N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
E4,Value3<9>,IBUF,IO_L04P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
E5,,,VCCINT,,,,,,,,1.2,,,,
E6,Value2<21>,IBUF,IO_L21N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E7,Value2<16>,IBUF,IO_L19N_0/VREF_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E8,Value2<10>,IBUF,IO_L17P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E9,Value2<6>,IBUF,IO_L15P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E10,Value1<30>,IBUF,IO_L11N_0/GCLK5,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E11,Value1<22>,IBUF,IO_L08P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E12,Value1<18>,IBUF,IO_L06N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E13,Value1<11>,IBUF,IO,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
E14,,,VCCINT,,,,,,,,1.2,,,,
E15,grant<0>,IOB,IO_L22P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E16,grant<1>,IOB,IO_L22N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
E17,request<1>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
E18,Value1<9>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
F1,Value3<12>,IBUF,IO_L05P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F2,Value3<13>,IBUF,IO_L05N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F3,,,VCCO_3,,,3,,,,,2.50,,,,
F4,Value3<8>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F5,Value3<11>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F6,,,VCCINT,,,,,,,,1.2,,,,
F7,Value2<15>,IBUF,IO_L19P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F8,Value2<11>,IBUF,IO_L17N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F9,Value2<7>,IBUF,IO_L15N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F10,Value1<27>,IBUF,IP_L10P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F11,Value1<23>,IBUF,IO_L08N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F12,Value1<17>,IBUF,IO_L06P_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
F13,,,VCCINT,,,,,,,,1.2,,,,
F14,CDBout<19>,IOB,IO_L21N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F15,CDBout<17>,IOB,IO_L21P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F16,,,VCCO_1,,,1,,,,,2.50,,,,
F17,CDBout<15>,IOB,IO_L19N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
F18,CDBout<20>,IOB,IO_L19P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G1,Value3<16>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G2,,,VCCAUX,,,,,,,,2.5,,,,
G3,Value3<14>,IBUF,IO_L06P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G4,Value3<15>,IBUF,IO_L06N_3/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G5,Value3<18>,IBUF,IO_L07N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G6,Value3<17>,IBUF,IO_L07P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G7,,,GND,,,,,,,,,,,,
G8,,,VCCO_0,,,0,,,,,2.50,,,,
G9,Value2<5>,IBUF,IO,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
G10,Value1<28>,IBUF,IP_L10N_0,INPUT,LVCMOS25*,0,,,,NONE,,UNLOCATED,NO,NONE,
G11,,,VCCO_0,,,0,,,,,2.50,,,,
G12,,,GND,,,,,,,,,,,,
G13,CDBout<18>,IOB,IO_L20N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G14,CDBout<13>,IOB,IO_L20P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G15,CDBout<12>,IOB,IO_L18P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G16,CDBout<14>,IOB,IO_L18N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
G17,,,VCCAUX,,,,,,,,2.5,,,,
G18,Q2<3>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H1,Value3<25>,IBUF,IO_L10N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H2,Value3<24>,IBUF,IO_L10P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H3,Value3<23>,IBUF,IO_L09N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H4,Value3<22>,IBUF,IO_L09P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H5,Value3<20>,IBUF,IO_L08N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H6,Value3<19>,IBUF,IO_L08P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H7,,,VCCO_3,,,3,,,,,2.50,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,,VCCO_1,,,1,,,,,2.50,,,,
H13,Q2<4>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H14,Q1<3>,IBUF,IO_L17P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H15,CDBout<9>,IOB,IO_L17N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H16,CDBout<27>,IOB,IO_L16P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
H17,Value1<15>,IBUF,IO_L16N_1/A0,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H18,Value1<12>,IBUF,IP/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J1,Value3<29>,IBUF,IO_L12P_3/LHCLK2,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J2,Value3<30>,IBUF,IO_L12N_3/LHCLK3/IRDY2,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J3,,,GND,,,,,,,,,,,,
J4,Value3<28>,IBUF,IO_L11N_3/LHCLK1,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J5,Value3<27>,IBUF,IO_L11P_3/LHCLK0,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J6,Value3<26>,IBUF,IP/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J7,Value3<21>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J8,,,GND,,,,,,,,,,,,
J11,,,GND,,,,,,,,,,,,
J12,CDBout<29>,IOB,IO_L15P_1/A2,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J13,Value1<16>,IBUF,IO_L15N_1/A1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J14,CDBout<24>,IOB,IO_L14N_1/A3/RHCLK7,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
J15,Value1<5>,IBUF,IO_L14P_1/A4/RHCLK6,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J16,Value2<2>,IBUF,IO_L13N_1/A5/RHCLK5,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J17,Q2<2>,IBUF,IO_L13P_1/A6/RHCLK4/IRDY1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J18,,,VCCO_1,,,1,,,,,2.50,,,,
K1,,,VCCO_3,,,3,,,,,2.50,,,,
K2,Value3<31>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K3,,DIFFM,IO_L13P_3/LHCLK4/TRDY2,UNUSED,,3,,,,,,,,,
K4,,DIFFS,IO_L13N_3/LHCLK5,UNUSED,,3,,,,,,,,,
K5,,DIFFS,IO_L14N_3/LHCLK7,UNUSED,,3,,,,,,,,,
K6,,DIFFM,IO_L14P_3/LHCLK6,UNUSED,,3,,,,,,,,,
K7,,IBUF,IP,UNUSED,,3,,,,,,,,,
K8,,,GND,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,CDBout<22>,IOB,IO_L11N_1/A9/RHCLK1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
K13,Value1<3>,IBUF,IO_L11P_1/A10/RHCLK0,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K14,Value1<1>,IBUF,IO_L12N_1/A7/RHCLK3/TRDY1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K15,Q2<1>,IBUF,IO_L12P_1/A8/RHCLK2,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K16,,,GND,,,,,,,,,,,,
K17,Q1<1>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K18,Value1<2>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L1,,DIFFM,IO_L15P_3,UNUSED,,3,,,,,,,,,
L2,,DIFFS,IO_L15N_3,UNUSED,,3,,,,,,,,,
L3,,DIFFM,IO_L16P_3,UNUSED,,3,,,,,,,,,
L4,,DIFFS,IO_L16N_3,UNUSED,,3,,,,,,,,,
L5,,DIFFS,IO_L17N_3/VREF_3,UNUSED,,3,,,,,,,,,
L6,,DIFFM,IO_L17P_3,UNUSED,,3,,,,,,,,,
L7,,,VCCO_3,,,3,,,,,2.50,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,GND,,,,,,,,,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCO_1,,,1,,,,,2.50,,,,
L13,Q3<4>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L14,Q3<3>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L15,Q1<2>,IBUF,IO_L09N_1/A11,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L16,request<0>,IBUF,IO_L09P_1/A12,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L17,Q2<0>,IBUF,IO_L10N_1/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L18,Q1<4>,IBUF,IO_L10P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
M1,,IBUF,IP,UNUSED,,3,,,,,,,,,
M2,,,VCCAUX,,,,,,,,2.5,,,,
M3,,DIFFS,IO_L18N_3,UNUSED,,3,,,,,,,,,
M4,,DIFFM,IO_L18P_3,UNUSED,,3,,,,,,,,,
M5,,DIFFM,IO_L19P_3,UNUSED,,3,,,,,,,,,
M6,,DIFFS,IO_L19N_3,UNUSED,,3,,,,,,,,,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCO_2,,,2,,,,,2.50,,,,
M9,,DIFFS,IO_L12N_2/D6/GCLK13,UNUSED,,2,,,,,,,,,
M10,,DIFFM,IO_L16P_2/M0,UNUSED,,2,,,,,,,,,
M11,,,VCCO_2,,,2,,,,,2.50,,,,
M12,,,GND,,,,,,,,,,,,
M13,CDBout<10>,IOB,IO_L05N_1/VREF_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M14,CDBout<34>,IOB,IO_L05P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M15,CDBout<33>,IOB,IO_L07P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M16,CDBout<36>,IOB,IO_L07N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
M17,,,VCCAUX,,,,,,,,2.5,,,,
M18,CDBout<16>,IOB,IO_L08N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N1,,IBUF,IP,UNUSED,,3,,,,,,,,,
N2,,IBUF,IP,UNUSED,,3,,,,,,,,,
N3,,,VCCO_3,,,3,,,,,2.50,,,,
N4,,DIFFM,IO_L20P_3,UNUSED,,3,,,,,,,,,
N5,,DIFFS,IO_L20N_3,UNUSED,,3,,,,,,,,,
N6,,,VCCINT,,,,,,,,1.2,,,,
N7,,DIFFM,IO_L07P_2,UNUSED,,2,,,,,,,,,
N8,,DIFFS,IO_L09N_2,UNUSED,,2,,,,,,,,,
N9,,DIFFM,IO_L12P_2/D7/GCLK12,UNUSED,,2,,,,,,,,,
N10,,DIFFS,IO_L16N_2/DIN/D0,UNUSED,,2,,,,,,,,,
N11,,DIFFS,IO_L18N_2,UNUSED,,2,,,,,,,,,
N12,CDBout<6>,IOB,IO_L21P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,CDBout<8>,IOB,IO_L04N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N15,CDBout<32>,IOB,IO_L04P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N16,,,VCCO_1,,,1,,,,,2.50,,,,
N17,Q3<2>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N18,Q1<0>,IBUF,IO_L08P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P1,,DIFFS,IO_L21N_3,UNUSED,,3,,,,,,,,,
P2,,DIFFM,IO_L21P_3,UNUSED,,3,,,,,,,,,
P3,,DIFFM,IO_L22P_3,UNUSED,,3,,,,,,,,,
P4,,DIFFS,IO_L22N_3,UNUSED,,3,,,,,,,,,
P5,,,VCCINT,,,,,,,,1.2,,,,
P6,,DIFFS,IO_L05N_2,UNUSED,,2,,,,,,,,,
P7,,DIFFS,IO_L07N_2,UNUSED,,2,,,,,,,,,
P8,,DIFFM,IO_L09P_2,UNUSED,,2,,,,,,,,,
P9,,IOB,IO,UNUSED,,2,,,,,,,,,
P10,,DIFFS,IO_L15N_2/D1/GCLK3,UNUSED,,2,,,,,,,,,
P11,,DIFFM,IO_L18P_2,UNUSED,,2,,,,,,,,,
P12,CDBout<5>,IOB,IO_L21N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P13,CDBout<0>,IOB,IO_L22P_2/A23,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P14,,,VCCINT,,,,,,,,1.2,,,,
P15,Q3<1>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P16,Q3<0>,IBUF,IO,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P17,CDBout<11>,IOB,IO_L06P_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P18,CDBout<35>,IOB,IO_L06N_1,OUTPUT,LVCMOS25*,1,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R1,,IBUF,IP,UNUSED,,3,,,,,,,,,
R2,,DIFFS,IO_L23N_3,UNUSED,,3,,,,,,,,,
R3,,DIFFM,IO_L23P_3,UNUSED,,3,,,,,,,,,
R4,,IBUF,IP/VREF_3,UNUSED,,3,,,,,,,,,
R5,,DIFFM,IO_L04P_2,UNUSED,,2,,,,,,,,,
R6,,DIFFM,IO_L05P_2,UNUSED,,2,,,,,,,,,
R7,,DIFFSI,IP_L08N_2,UNUSED,,2,,,,,,,,,
